FrameNum CenterX(mm) CenterY(mm) Areas
952 254.32 98.39 OBJA1
953 254.23 98.35 OBJA1
954 254.16 98.23 OBJA1
955 254.06 98.09 OBJA1
956 254.01 97.95 OBJA1
957 254.06 97.77 OBJA1
958 254.23 97.64 OBJA1
959 254.47 97.54 OBJA1
960 254.71 97.52 OBJA1
961 254.88 97.60 OBJA1
962 255.06 97.61 OBJA1
963 255.27 97.53 OBJA1
964 255.51 97.40 OBJA1
965 255.64 97.21 OBJA1
966 255.72 96.91 OBJA1
967 255.84 96.53 OBJA1
968 255.86 96.11 OBJA1
969 255.82 95.67 OBJA1
970 255.72 95.26 OBJA1
971 255.57 94.91 OBJA1
972 255.27 94.64 OBJA1
973 254.84 94.50 OBJA1
974 254.24 94.54 OBJA1
975 253.52 94.69 OBJA1
976 252.77 94.83 OBJA1
977 252.08 95.06 OBJA1
978 251.44 95.27 OBJA1
979 251.02 95.47 OBJA1
980 250.80 95.64 OBJA1
981 250.66 95.87 OBJA1
982 250.47 96.18 OBJA1
983 250.15 96.47 OBJA1
984 249.72 96.79 OBJA1
985 249.16 97.07 OBJA1
986 248.38 97.26 OBJA1
987 247.42 97.50 OBJA1
988 246.33 97.80 OBJA1
989 245.33 98.23 OBJA1
990 244.34 98.90 OBJA1
991 243.60 99.70 OBJA1
992 242.66 100.88 OBJA1
993 241.61 102.17 OBJA1
994 240.68 103.56 OBJA1
995 239.82 104.90 OBJA1
996 238.94 106.13 Floor
997 238.18 107.24 Floor
998 237.58 108.29 Floor
999 237.34 109.13 Floor
1000 237.47 109.82 Floor
1001 238.06 110.19 Floor
1002 238.54 110.49 Floor
1003 239.01 110.48 Floor
1004 239.58 110.14 Floor
1005 240.24 109.52 Floor
1006 240.93 108.81 Floor
1007 241.63 108.09 Floor
1008 242.28 107.66 Floor
1009 242.81 107.61 Floor
1010 243.10 108.06 Floor
1011 243.07 109.08 Floor
1012 242.69 110.47 Floor
1013 241.87 112.08 Floor
1014 240.73 113.88 Floor
1015 239.49 115.78 Floor
1016 238.24 117.63 Floor
1017 236.94 119.56 Floor
1018 235.48 121.68 Floor
1019 234.06 123.88 Floor
1020 232.63 126.19 Floor
1021 231.25 128.51 Floor
1022 229.97 130.83 Floor
1023 228.77 133.10 Floor
1024 227.64 135.49 Floor
1025 226.56 137.94 Floor
1026 225.63 140.28 Floor
1027 224.52 142.79 Floor
1028 223.25 145.24 Floor
1029 221.83 147.53 Floor
1030 220.07 149.66 Floor
1031 217.95 151.48 Floor
1032 215.57 153.08 Floor
1033 212.95 154.49 Floor
1034 210.24 155.84 Floor
1035 207.52 157.19 Floor
1036 204.88 158.68 Floor
1037 202.24 160.40 Floor
1038 199.73 162.25 Floor
1039 197.18 164.28 Floor
1040 194.43 166.43 Floor
1041 191.53 168.57 Floor
1042 188.63 170.44 Floor
1043 185.59 171.98 Floor
1044 182.52 173.04 Floor
1045 179.59 173.67 Floor
1046 176.79 174.02 Floor
1047 173.91 174.10 Floor
1048 171.03 174.01 Floor
