FrameNum CenterX(mm) CenterY(mm) Areas
706 224.57 79.09 Floor
707 224.52 79.01 Floor
708 224.46 78.95 Floor
709 224.42 78.83 Floor
710 224.37 78.71 Floor
711 224.37 78.62 Floor
712 224.42 78.54 Floor
713 224.46 78.51 Floor
714 224.52 78.44 Floor
715 224.57 78.43 Floor
716 224.63 78.38 Floor
717 224.67 78.38 Floor
718 224.70 78.36 Floor
719 224.71 78.37 Floor
720 224.68 78.37 Floor
721 224.68 78.28 Floor
722 224.68 78.23 Floor
723 224.68 78.20 Floor
724 224.68 78.11 Floor
725 224.68 78.05 Floor
726 224.68 78.04 Floor
727 224.71 78.11 Floor
728 224.70 78.24 Floor
729 224.67 78.38 Floor
730 224.63 78.53 Floor
731 224.57 78.70 Floor
732 224.52 78.89 OBJG
733 224.44 78.99 OBJG
734 224.40 78.94 OBJG
735 224.40 78.88 OBJG
736 224.44 78.78 OBJG
737 224.52 78.64 OBJG
738 224.55 78.46 OBJG
739 224.63 78.24 OBJG
740 224.68 78.14 OBJG
741 224.73 78.06 OBJG
742 224.77 78.04 OBJG
743 224.79 78.03 OBJG
744 224.84 78.05 OBJG
745 224.89 78.17 OBJG
746 224.88 78.24 OBJG
747 224.89 78.31 OBJG
748 224.93 78.40 OBJG
749 225.08 78.59 OBJG
750 225.22 78.70 OBJG
751 225.39 78.86 OBJG
752 225.60 79.01 OBJG
753 225.84 79.08 OBJG
754 226.16 79.06 OBJG
755 226.57 78.89 OBJG
756 226.98 78.52 OBJG
757 227.47 77.88 OBJG
758 228.02 77.06 OBJG
759 228.60 76.23 OBJG
760 229.18 75.34 OBJG
761 229.72 74.75 OBJG
762 230.18 74.32 Floor
763 230.63 74.21 Floor
764 231.07 74.26 Floor
765 231.52 74.59 Floor
766 231.97 75.14 Floor
767 232.47 75.81 Floor
768 233.07 76.55 Floor
769 233.80 77.50 Floor
770 NaN NaN Floor
771 235.66 80.18 Floor
772 236.69 81.86 Floor
773 NaN NaN Floor
774 NaN NaN Floor
775 NaN NaN Floor
776 NaN NaN Floor
777 NaN NaN Floor
778 NaN NaN Floor
779 NaN NaN Floor
780 NaN NaN Floor
781 245.57 98.75 Floor
782 246.86 101.22 Floor
783 248.24 103.94 Floor
784 NaN NaN Floor
785 250.62 108.58 Floor
786 NaN NaN Floor
787 NaN NaN Floor
788 252.17 113.81 Floor
789 252.31 115.99 Floor
790 NaN NaN Floor
791 NaN NaN Floor
792 NaN NaN Floor
793 250.75 124.88 Floor
794 250.38 127.17 Floor
795 NaN NaN Floor
796 250.04 131.49 Floor
797 NaN NaN Floor
798 250.38 135.60 Floor
799 NaN NaN Floor
800 251.11 139.49 Floor
801 251.37 141.42 Floor
802 251.50 143.42 Floor
803 NaN NaN Floor
804 NaN NaN Floor
805 NaN NaN Floor
806 NaN NaN Floor
807 NaN NaN Floor
808 NaN NaN Floor
809 NaN NaN Floor
810 248.47 159.08 Floor
811 248.17 161.09 Floor
812 NaN NaN Floor
813 247.74 164.72 Floor
814 247.63 165.80 Floor
815 247.66 166.05 Floor
816 247.58 166.50 Floor
817 247.57 166.77 Floor
818 247.66 166.91 Floor
819 247.74 167.16 Floor
820 247.71 167.32 Floor
