FrameNum CenterX(mm) CenterY(mm) Areas
761 261.84 125.49 Floor
762 261.70 122.04 Floor
763 261.88 118.61 Floor
764 262.29 115.20 Floor
765 262.86 111.78 Floor
766 263.43 108.30 Floor
767 263.80 104.85 Floor
768 263.90 101.41 Floor
769 263.50 97.92 Floor
770 262.71 94.39 Floor
771 261.63 90.85 Floor
772 NaN NaN Floor
773 259.71 83.76 Floor
774 259.12 80.25 Floor
775 258.95 76.68 Floor
776 259.13 73.05 Floor
777 259.48 69.50 Floor
778 259.78 65.97 Floor
779 259.80 62.64 Floor
780 259.49 59.52 Floor
781 258.88 56.87 Floor
782 258.05 54.68 Floor
783 257.17 52.97 Floor
784 256.51 51.80 Floor
785 256.21 51.07 Floor
786 256.30 50.62 Floor
787 256.69 50.28 Floor
788 257.27 49.94 Floor
789 257.86 49.75 Floor
790 258.33 49.57 Floor
791 258.64 49.43 Floor
792 258.70 49.16 Floor
793 258.56 48.94 Floor
794 258.41 48.81 Floor
795 258.31 48.77 Floor
796 258.24 48.87 Floor
797 258.32 48.83 Floor
798 258.53 48.65 Floor
799 258.80 48.46 Floor
800 259.11 48.18 Floor
801 259.49 47.85 Floor
802 259.85 47.46 Floor
803 260.16 47.18 Floor
804 260.39 47.06 Floor
805 260.48 47.11 Floor
806 260.47 47.48 Floor
807 260.31 47.85 Floor
808 259.95 48.24 Floor
809 259.36 48.68 Floor
810 258.58 49.09 Floor
811 257.54 49.44 Floor
812 256.09 49.63 Floor
813 254.36 49.63 Floor
814 252.37 49.35 Floor
815 250.11 48.81 Floor
816 247.67 47.99 Floor
817 245.21 46.76 Floor
818 242.81 45.24 Floor
819 240.24 43.48 Floor
820 237.60 41.62 Floor
821 234.89 39.90 Floor
822 232.15 38.50 Floor
823 229.29 37.45 Floor
824 226.48 36.81 Floor
825 223.53 36.51 Floor
826 220.39 36.44 Floor
827 217.21 36.41 Floor
828 213.79 36.22 Floor
829 NaN NaN Floor
830 206.17 34.97 Floor
831 NaN NaN Floor
832 198.60 33.95 Floor
833 194.64 33.77 Floor
834 190.67 33.89 Floor
835 186.47 34.21 Floor
836 NaN NaN Floor
837 NaN NaN Floor
838 NaN NaN Floor
839 NaN NaN Floor
840 NaN NaN Floor
841 NaN NaN Floor
842 NaN NaN Floor
843 NaN NaN Floor
844 147.90 37.35 Floor
845 NaN NaN Floor
846 137.37 39.09 Floor
847 133.42 39.87 Floor
848 131.38 40.38 Floor
849 131.71 40.43 Floor
850 130.89 40.22 Floor
851 129.96 39.85 Floor
852 128.49 39.40 Floor
853 126.45 38.89 Floor
854 123.73 38.47 Floor
855 120.44 38.21 Floor
856 116.95 38.22 Floor
857 113.54 38.44 Floor
858 110.35 38.85 Floor
859 107.41 39.39 Floor
860 105.02 40.01 Floor
861 103.14 40.51 Floor
862 101.75 40.77 Floor
863 100.86 40.68 Floor
864 100.28 40.36 Floor
865 100.01 39.88 Floor
866 99.94 39.36 Floor
867 100.14 38.91 Floor
868 100.42 38.58 Floor
869 100.67 38.41 Floor
870 100.89 38.41 Floor
871 101.04 38.61 Floor
872 101.08 39.02 Floor
873 100.93 39.64 Floor
874 100.68 40.58 Floor
875 100.33 41.75 Floor
876 99.85 43.10 Floor
877 99.35 44.57 Floor
878 98.83 46.11 Floor
879 98.24 47.63 Floor
880 97.63 49.09 Floor
881 96.97 50.52 Floor
882 96.17 51.75 Floor
883 95.24 52.87 Floor
884 94.24 54.04 Floor
885 93.13 55.08 Floor
886 91.92 56.15 Floor
887 90.77 57.21 Floor
888 89.76 58.41 Floor
889 89.00 59.58 Floor
890 88.58 60.71 Floor
891 88.45 61.82 Floor
892 88.64 62.82 Floor
893 89.03 63.87 Floor
894 89.50 65.20 Floor
895 89.93 66.68 Floor
896 90.20 68.63 Floor
897 90.23 71.04 Floor
898 89.87 74.02 Floor
899 89.24 77.23 Floor
900 88.39 80.72 Floor
901 NaN NaN Floor
902 86.66 88.52 Floor
903 86.05 92.51 Floor
904 NaN NaN Floor
905 85.72 100.59 Floor
906 85.89 104.66 Floor
907 NaN NaN Floor
908 85.77 112.67 Floor
909 85.36 116.28 Floor
910 84.70 119.91 Floor
911 83.93 123.49 Floor
912 83.33 126.83 Floor
913 83.00 130.15 Floor
914 83.06 133.40 Floor
915 83.43 136.59 Floor
916 84.00 139.76 Floor
917 84.40 142.95 Floor
918 84.54 145.97 Floor
919 84.33 148.93 Floor
920 83.75 152.06 Floor
921 83.00 155.10 Floor
922 82.29 157.99 Floor
923 81.80 160.65 Floor
924 81.70 162.99 Floor
