Frame X Y
886 243.30 126.75
887 240.50 128.22
888 239.13 129.84
889 235.61 130.25
890 233.70 130.25
891 232.66 130.23
892 229.32 130.23
893 227.02 126.90
894 224.93 124.76
895 224.45 123.74
896 224.07 121.99
897 223.99 120.10
898 223.33 120.08
899 223.21 119.85
900 223.21 119.85
901 223.33 119.85
902 223.33 119.67
903 223.53 119.36
904 225.01 118.92
905 225.31 118.68
906 225.35 118.42
907 225.41 118.34
908 225.92 117.58
909 226.54 116.80
910 227.42 115.65
911 228.12 113.95
912 228.12 113.89
913 228.12 113.89
914 227.78 113.89
915 227.12 115.29
916 226.29 116.18
917 226.22 116.18
918 226.22 116.18
919 226.22 116.14
920 227.01 115.23
921 227.08 115.08
922 227.45 114.88
923 227.47 113.97
924 227.75 113.42
925 228.81 113.03
926 230.12 112.83
927 230.60 111.79
928 230.85 111.29
929 231.00 110.20
930 231.26 108.28
931 231.54 105.27
932 232.56 104.36
933 232.56 102.71
934 232.56 99.75
935 229.17 97.71
936 228.97 97.67
937 228.01 96.97
938 227.79 96.88
939 227.52 96.46
940 227.37 96.35
941 227.36 96.35
942 227.22 96.46
943 227.22 96.23
944 227.22 96.23
945 227.22 96.46
946 227.39 96.46
947 227.42 96.59
948 227.73 96.92
949 228.19 96.96
950 228.81 98.41
951 228.81 98.41
952 228.81 98.41
953 228.66 98.33
954 228.35 98.29
955 227.40 98.21
956 227.40 98.10
957 227.40 97.99
958 227.61 97.90
959 227.80 97.79
960 227.89 97.79
961 228.22 97.79
962 228.26 98.16
963 228.37 98.79
964 228.74 99.17
965 229.29 99.54
966 229.96 99.74
967 229.96 99.74
968 229.96 99.54
969 229.95 99.50
970 229.41 98.84
971 229.04 98.16
972 228.80 98.16
973 228.73 98.16
974 228.40 99.12
975 228.21 99.25
976 228.11 99.32
977 227.15 99.34
978 226.33 99.55
979 225.38 99.94
980 225.38 100.58
981 225.38 100.91
982 225.49 101.40
983 225.62 102.74
984 225.62 104.23
985 225.62 106.45
986 225.09 107.78
987 224.82 108.56
988 224.12 109.66
989 223.65 109.80
990 223.48 110.43
991 223.38 111.09
992 220.88 113.36
993 220.32 115.53
994 217.71 116.00
995 216.31 116.12
996 213.34 116.30
997 212.28 116.30
998 211.84 117.10
999 211.84 117.10
1000 212.28 118.53
1001 215.12 119.79
1002 217.57 121.59
1003 219.17 122.44
1004 220.62 122.44
1005 221.24 122.44
1006 221.27 121.74
1007 221.48 121.74
1008 221.64 121.74
1009 221.66 122.11
1010 222.83 122.54
1011 222.83 123.09
1012 222.83 130.09
1013 222.28 133.34
1014 221.35 135.36
1015 220.08 138.40
1016 219.48 141.09
1017 219.18 142.66
1018 217.22 146.13
1019 214.54 147.50
1020 212.10 148.54
1021 211.20 149.63
1022 208.18 152.34
1023 205.82 154.83
1024 204.75 156.72
1025 204.49 157.64
1026 202.74 162.35
1027 201.93 165.31
1028 201.08 167.17
1029 196.88 167.91
1030 194.30 170.98
1031 191.95 172.26
1032 190.31 172.26
1033 186.51 172.27
1034 182.39 172.27
1035 178.50 172.75
1036 175.39 173.13
1037 171.61 173.45
1038 169.64 173.71
1039 167.97 174.30
1040 164.42 177.71
1041 159.34 180.31
1042 156.64 181.19
1043 154.37 181.53
1044 149.92 181.53
1045 147.11 181.53
1046 142.83 180.59
1047 141.46 179.88
1048 136.80 179.06
1049 133.84 179.06
1050 131.75 179.06
1051 128.73 179.06
1052 124.85 179.06
1053 121.31 178.20
1054 119.19 178.18
1055 113.42 177.71
1056 110.22 177.54
1057 107.76 177.62
1058 105.81 177.62
1059 100.99 177.62
1060 97.34 177.83
1061 95.39 178.12
1062 93.80 180.24
1063 91.14 181.49
1064 88.76 182.12
1065 87.97 183.38
1066 87.04 183.38
1067 83.17 183.38
1068 80.37 181.06
1069 79.61 179.37
1070 79.61 179.34
1071 79.61 179.34
1072 80.06 179.34
1073 80.96 180.67
1074 81.55 181.60
1075 81.91 183.02
1076 82.09 184.44
1077 82.09 184.83
1078 82.09 185.75
1079 81.81 186.80
